Tipo,Subtipo,Concepto
Desayuno,Huevos,Huevos fritos
Desayuno,Huevos,Huevos tibios
Desayuno,Huevos,Huevos revueltos
Desayuno,Huevos,Huevos satsuka
Desayuno,Huevos,Omelet
Desayuno,Huevos,Huevos Veronica
Desayuno,Huevos,Huevos con doritos
Desayuno,Carb,Pan de maiz
Desayuno,Carb,Pan de yuca
Desayuno,Carb,Arepa
Desayuno,Carb,Pan tostado
Desayuno,Carb,Pan de banano
Desayuno,Carb,Pan
Desayuno,Completo,Waffles
Desayuno,Completo,Sandwich de atun
Desayuno,Completo,Sandwich de huevo
Desayuno,Completo,Avena trasnochada con fruta
Desayuno,Completo,Sandwich de jamon o pollo
Almuerzo,Principal,Pasta de pollo
Almuerzo,Principal,Pasta de camarones
Almuerzo,Principal,Pasta de carne molida
Almuerzo,Principal,Pasta con champiñones
Almuerzo,Principal,Ensalada fría de pasta
Almuerzo,Principal,Lentejas
Almuerzo,Principal,Frijoles
Almuerzo,Principal,Garbanzos
Almuerzo,Proteina + verdura,Pollo sudado
Almuerzo,Proteina,Carne en bistek
Almuerzo,Proteina + verdura,Cerdo con verdura
Almuerzo,Principal,Arroz con pollo
Almuerzo,Proteina,Colombinas de pollo asadas
Almuerzo,Proteina,Alas de pollo asadas
Almuerzo,Proteina,Pechuga a la plancha
Almuerzo,Proteina,Chuleta asada
Almuerzo,Proteina,Carne asada
Almuerzo,Proteina,Carne asada de la delgadita
Almuerzo,Proteina,Costillitas de cerdo
Almuerzo,Proteina,Cerdo desmechado
Almuerzo,Proteina,Ropa vieja
Almuerzo,Proteina,Carne molida
Almuerzo,Carb,Arroz
Almuerzo,Carb,Arroz con alverjas
Almuerzo,Carb,Arroz con zanahoria
Almuerzo,Carb,Ensalada fria de papa
Almuerzo,Carb,Papa salada
Almuerzo,Carb,Puré de papa
Almuerzo,Carb,Papas doradas
Almuerzo,Carb,Cuscus
Almuerzo,Carb,Yuca 
Almuerzo,Carb,Platano al horno
Almuerzo,Ensalada,Griega
Almuerzo,Ensalada,"Albahaca, tomate, queso "
Almuerzo,Ensalada,Verduras asadas
Almuerzo,Ensalada,Primavera
Almuerzo,Ensalada,Arveja con mayonesa
Almuerzo,Ensalada,Apio con miel y zanahora y pasas
Almuerzo,Ensalada,Fresas con espinaca y queso
Almuerzo,Ensalada,Torta de espinaca
Almuerzo,Ensalada,Acelga con huevo y queso crema
Almuerzo,Ensalada,Brocoli al vapor
Almuerzo,Ensalada,Brocoli crudo
Almuerzo,Ensalada,"Tomate, cebolla, lechuga y cilantro"
Almuerzo,Ensalada,Coliflor crudo
Almuerzo,Ensalada,Coliflor al vapor
Almuerzo,Ensalada,Bastones de apio y zanahoria
Onces,Beber,Jugo de caja
Onces,Beber,Yogurt
Onces,Beber,Arroz con leche
Onces,Beber,Pure de manzana
Onces,Beber,Leche
Onces,Beber,Bon yurt
Onces,Carb,Crostinis
Onces,Carb,Galletas de arroz con mermelada y queso crema
Onces,Carb,Saltinas de sal con mermelada
Onces,Carb,Made for good
Onces,Carb,Galletas de cranberry
Onces,Carb,Galletas de pitaya
Onces,Carb,Pop corn
Onces,Carb,Sun chips
Onces,Carb,Papas fritas
Onces,Carb,Tostitos
Onces,Carb,Arepa
Onces,Carb,Pan
Onces,Proteina,Queso
Onces,Proteina,Hummus + chips
Onces,Fruta,Manzana
Onces,Fruta,Banana
Onces,Fruta,Arandanos
Onces,Fruta,Fresas
Onces,Fruta,Uvas
Onces,Fruta,Mandarina
Onces,Fruta,Naranja
Onces,Fruta,Sandia
Onces,Fruta,Durazno
Onces,Fruta,Pera
Onces,Fruta,Cerezas
